"timestamp","value"
"1514761200","0.0"
"1514762100","0.0"
"1514763000","0.0"
"1514763900","0.0"
"1514764800","0.0"
"1514765700","0.0"
"1514766600","0.0"
"1514767500","0.0"
"1514768400","0.0"
"1514769300","0.0"
"1514770200","0.0"
"1514771100","0.0"
"1514772000","0.0"
"1514772900","0.0"
"1514773800","0.0"
"1514774700","0.0"
"1514775600","0.0"
"1514776500","0.0"
"1514777400","0.0"
"1514778300","0.0"
"1514779200","0.0"
"1514780100","0.0"
"1514781000","0.0"
"1514781900","0.0"
"1514782800","0.0"
"1514783700","0.0"
"1514784600","0.0"
"1514785500","0.0"
"1514786400","0.0"
"1514787300","0.0"
"1514788200","0.0"
"1514789100","0.0"
"1514790000","0.0"
"1514790900","0.0"
"1514791800","0.0"
"1514792700","0.0"
"1514793600","0.0"
"1514794500","0.0"
"1514795400","0.0"
"1514796300","0.0"
"1514797200","0.0"
"1514798100","0.0"
"1514799000","0.0"
"1514799900","0.0"
"1514800800","0.0"
"1514801700","0.3"
"1514802600","0.0"
"1514803500","1.5"
"1514804400","1.8"
"1514805300","1.8"
"1514806200","1.5"
"1514807100","1.8"
"1514808000","1.5"
"1514808900","1.2"
"1514809800","0.9"
"1514810700","1.2"
"1514811600","1.2"
"1514812500","0.9"
"1514813400","0.6"
"1514814300","0.6"
"1514815200","0.3"
"1514816100","0.3"
"1514817000","0.3"
"1514817900","0.0"
"1514818800","0.0"
"1514819700","0.0"
"1514820600","0.0"
"1514821500","0.0"
"1514822400","0.0"
"1514823300","0.0"
"1514824200","0.0"
"1514825100","0.0"
"1514826000","0.0"
"1514826900","0.0"
"1514827800","0.0"
"1514828700","0.0"
"1514829600","0.0"
"1514830500","0.0"
"1514831400","0.0"
"1514832300","0.0"
"1514833200","0.0"
"1514834100","0.0"
"1514835000","0.0"
"1514835900","0.0"
"1514836800","0.0"
"1514837700","0.0"
"1514838600","0.0"
"1514839500","0.0"
"1514840400","0.0"
"1514841300","0.0"
"1514842200","0.0"
"1514843100","0.0"
"1514844000","0.0"
"1514844900","0.0"
"1514845800","0.0"
"1514846700","0.0"
"1514847600","0.0"
"1514848500","0.0"
"1514849400","0.0"
"1514850300","0.0"
"1514851200","0.0"
"1514852100","0.0"
"1514853000","0.0"
"1514853900","0.0"
"1514854800","0.0"
"1514855700","0.0"
"1514856600","0.0"
"1514857500","0.0"
"1514858400","0.0"
"1514859300","0.0"
"1514860200","0.0"
"1514861100","0.0"
"1514862000","0.0"
"1514862900","0.0"
"1514863800","0.0"
"1514864700","0.0"
"1514865600","0.0"
"1514866500","0.0"
"1514867400","0.0"
"1514868300","0.0"
"1514869200","0.0"
"1514870100","0.0"
"1514871000","0.0"
"1514871900","0.0"
"1514872800","0.0"
"1514873700","0.0"
"1514874600","0.0"
"1514875500","0.0"
"1514876400","0.0"
"1514877300","0.0"
"1514878200","0.0"
"1514879100","0.0"
"1514880000","0.0"
"1514880900","0.0"
"1514881800","0.0"
"1514882700","0.0"
"1514883600","0.0"
"1514884500","0.0"
"1514885400","0.0"
"1514886300","0.0"
"1514887200","0.0"
"1514888100","0.0"
"1514889000","0.0"
"1514889900","0.0"
"1514890800","0.3"
"1514891700","1.8"
"1514892600","0.6"
"1514893500","0.6"
"1514894400","0.6"
"1514895300","0.9"
"1514896200","1.2"
"1514897100","0.6"
"1514898000","0.0"
"1514898900","0.0"
"1514899800","0.3"
"1514900700","0.0"
"1514901600","0.3"
"1514902500","0.0"
"1514903400","0.0"
"1514904300","0.0"
"1514905200","0.0"
"1514906100","0.0"
"1514907000","0.0"
"1514907900","0.0"
"1514908800","0.0"
"1514909700","0.0"
"1514910600","0.0"
"1514911500","0.0"
"1514912400","0.0"
"1514913300","0.0"
"1514914200","0.0"
"1514915100","0.0"
"1514916000","0.0"
"1514916900","0.0"
"1514917800","0.0"
"1514918700","0.0"
"1514919600","0.0"
"1514920500","0.0"
"1514921400","0.0"
"1514922300","0.0"
"1514923200","0.0"
"1514924100","0.0"
"1514925000","0.0"
"1514925900","0.0"
"1514926800","0.0"
"1514927700","0.0"
"1514928600","0.0"
"1514929500","0.0"
"1514930400","0.0"
"1514931300","0.0"
"1514932200","0.0"
"1514933100","0.0"
"1514934000","0.0"
"1514934900","0.0"
"1514935800","0.0"
"1514936700","0.0"
"1514937600","0.0"
"1514938500","0.0"
"1514939400","0.0"
"1514940300","0.0"
"1514941200","0.0"
"1514942100","0.0"
"1514943000","0.0"
"1514943900","0.0"
"1514944800","0.0"
"1514945700","0.0"
"1514946600","0.0"
"1514947500","0.0"
"1514948400","0.0"
"1514949300","0.0"
"1514950200","0.0"
"1514951100","0.0"
"1514952000","0.0"
"1514952900","0.0"
"1514953800","0.0"
"1514954700","0.0"
"1514955600","0.0"
"1514956500","0.0"
"1514957400","0.0"
"1514958300","0.0"
